service_id,date,exception_type
aKA1209-KA1206Su-Sunday-03,20130331,2
aKA1209-KA1206Su-Sunday-03,20130211,1
aKA1209-KA1209Wk-Weekday-11,20130211,2
aKA1209-KA1209Wk-Weekday-11,20130329,2
bKESE12-KDrPh1-Weekday-08,20121225,2
bKESE12-KDrPh1-Weekday-08,20121226,2
bKESE12-KDrPh1-Weekday-08,20130101,2
bKESE12-KDrPh1-Weekday-08,20130211,2
bKESE12-KDrPh1-Weekday-08,20130329,2
bKESE12-KDrPh1-Weekday-08-0000100,20121225,2
bKESE12-KDrPh1-Weekday-08-0000100,20121226,2
bKESE12-KDrPh1-Weekday-08-0000100,20130101,2
bKESE12-KDrPh1-Weekday-08-0000100,20130211,2
bKESE12-KDrPh1-Weekday-08-0000100,20130329,2
bKESE12-KPhsun-Sunday-05,20121225,1
bKESE12-KPhsun-Sunday-05,20130101,1
bKESE12-KPhsun-Sunday-05,20130211,1
bKESE12-KPhsun-Sunday-05,20130329,1
bKESE12-KPhSat-Saturday-07,20121226,1
cSQU12-SQWKY10-Weekday-03,20121225,2
cSQU12-SQWKY10-Weekday-03,20121226,2
cSQU12-SQWKY10-Weekday-03,20130101,2
cSQU12-SQWKY10-Weekday-03,20130211,2
cSQU12-SQWKY10-Weekday-03,20130401,2
cSQU12-SQWKY10-Weekday-03,20130520,2
cSQU12-SQWKY10-Weekday-03,20130701,2
cSQU12-SQWKY10-Weekday-03,20130805,2
cSQU12-SQWKY10-Weekday-03,20130902,2
cSQU12-SQWKY10-Weekday-03,20131014,2
cSQU12-SQWKY10-Weekday-03,20131111,2
cSQU12-SQWKY10-Weekday-03,20131225,2
cSQU12-SQWKY10-Weekday-03,20131226,2
cSQU12-SQWKY10-Weekday-03-0000100,20121225,2
cSQU12-SQWKY10-Weekday-03-0000100,20121226,2
cSQU12-SQWKY10-Weekday-03-0000100,20130101,2
cSQU12-SQWKY10-Weekday-03-0000100,20130211,2
cSQU12-SQWKY10-Weekday-03-0000100,20130401,2
cSQU12-SQWKY10-Weekday-03-0000100,20130520,2
cSQU12-SQWKY10-Weekday-03-0000100,20130701,2
cSQU12-SQWKY10-Weekday-03-0000100,20130805,2
cSQU12-SQWKY10-Weekday-03-0000100,20130902,2
cSQU12-SQWKY10-Weekday-03-0000100,20131014,2
cSQU12-SQWKY10-Weekday-03-0000100,20131111,2
cSQU12-SQWKY10-Weekday-03-0000100,20131225,2
cSQU12-SQWKY10-Weekday-03-0000100,20131226,2
dSEPT12-SeDN1-Weekday-01,20121008,2
dSEPT12-SeDN1-Weekday-01,20121112,2
dSEPT12-SeDN1-Weekday-01,20121224,2
dSEPT12-SeDN1-Weekday-01,20121225,2
dSEPT12-SeDN1-Weekday-01,20121226,2
dSEPT12-SeDN1-Weekday-01-1111000,20121008,2
dSEPT12-SeDN1-Weekday-01-1111000,20121112,2
dSEPT12-SeDN1-Weekday-01-1111000,20121224,2
dSEPT12-SeDN1-Weekday-01-1111000,20121225,2
dSEPT12-SeDN1-Weekday-01-1111000,20121226,2
dSEPT12-SUNSTAT2-Sunday-01,20121225,1
dSEPT12-SeDN1-Weekday-01-0000100,20121008,2
dSEPT12-SeDN1-Weekday-01-0000100,20121112,2
dSEPT12-SeDN1-Weekday-01-0000100,20121224,2
dSEPT12-SeDN1-Weekday-01-0000100,20121225,2
dSEPT12-SeDN1-Weekday-01-0000100,20121226,2
dSEPT12-ShStStVS-Saturday-03,20121226,1
dSEPT12-SpecSat-Saturday-01,20121117,2
dSEPT12-SpecSat-Saturday-01,20121124,2
dSEPT12-SpecSat-Saturday-01,20121201,2
dSEPT12-SpecSat-Saturday-01,20121208,2
dSEPT12-SpecSat-Saturday-01,20121215,2
dSEPT12-SpecSat-Saturday-01,20121222,2
dSEPT12-SpecSat-Saturday-01,20121112,1
dSEPT12-SpecSat-Saturday-01,20121224,1
dSEPT12-SUNSTAT1-Sunday-01,20121008,1
dJUNE12-SUNSTAT3-Sunday-02,20120903,1
eJAN13-SUNSTAT1-Sunday-01,20130101,1
eJAN13-WKYJAN13-Weekday-01-1111000,20130211,2
eJAN13-WKYJAN13-Weekday-01-1111000,20130329,2
eJAN13-WKYJAN13-Weekday-01-1111000,20130401,2
eJAN13-WKYJAN13-Weekday-01,20130211,2
eJAN13-WKYJAN13-Weekday-01,20130329,2
eJAN13-WKYJAN13-Weekday-01,20130401,2
eJAN13-SpecSat-Saturday-02,20121231,1
eJAN13-ShStStVS-Saturday-01,20130216,2
eJAN13-ShStStVS-Saturday-01,20130223,2
eJAN13-ShStStVS-Saturday-01,20130302,2
eJAN13-ShStStVS-Saturday-01,20130309,2
eJAN13-ShStStVS-Saturday-01,20130316,2
eJAN13-ShStStVS-Saturday-01,20130323,2
eJAN13-ShStStVS-Saturday-01,20130330,2
eJAN13-ShStStVS-Saturday-01,20130211,1
eJAN13-ShStStVS-Saturday-01,20130401,1
eJAN13-WKYJAN13-Weekday-01-0000100,20130211,2
eJAN13-WKYJAN13-Weekday-01-0000100,20130329,2
eJAN13-WKYJAN13-Weekday-01-0000100,20130401,2
eJAN13-SUNSTAT2-Sunday-01,20130329,1
fWINT13-FE12END-7-days-04,20121214,2
fWINT13-FE12END-7-days-04,20121215,2
fWINT13-FE12END-7-days-04,20121216,2
fWINT13-FE12END-7-days-04,20121221,2
fWINT13-FE12END-7-days-04,20121222,2
fWINT13-FE12END-7-days-04,20121223,2
fWINT13-FE12END-7-days-04,20121228,2
fWINT13-FE12END-7-days-04,20121229,2
fWINT13-FE12END-7-days-04,20121230,2
fWINT13-FE12END-7-days-04,20130104,2
fWINT13-FE12END-7-days-04,20130105,2
fWINT13-FE12END-7-days-04,20130106,2
fWINT13-FE12END-7-days-04,20130111,2
fWINT13-FE12END-7-days-04,20130112,2
fWINT13-FE12END-7-days-04,20130113,2
fWINT13-FE12END-7-days-04,20130118,2
fWINT13-FE12END-7-days-04,20130119,2
fWINT13-FE12END-7-days-04,20130120,2
fWINT13-FE12END-7-days-04,20130125,2
fWINT13-FE12END-7-days-04,20130126,2
fWINT13-FE12END-7-days-04,20130127,2
fWINT13-FE12END-7-days-04,20130201,2
fWINT13-FE12END-7-days-04,20130202,2
fWINT13-FE12END-7-days-04,20130203,2
fWINT13-FE12END-7-days-04,20130208,2
fWINT13-FE12END-7-days-04,20130209,2
fWINT13-FE12END-7-days-04,20130210,2
fWINT13-FE12END-7-days-04,20130215,2
fWINT13-FE12END-7-days-04,20130216,2
fWINT13-FE12END-7-days-04,20130217,2
fWINT13-FE12END-7-days-04,20130222,2
fWINT13-FE12END-7-days-04,20130223,2
fWINT13-FE12END-7-days-04,20130224,2
fWINT13-FE12END-7-days-04,20130301,2
fWINT13-FE12END-7-days-04,20130302,2
fWINT13-FE12END-7-days-04,20130303,2
fWINT13-FE12END-7-days-04,20130308,2
fWINT13-FE12END-7-days-04,20130309,2
fWINT13-FE12END-7-days-04,20130310,2
fWINT13-FE12END-7-days-04,20130315,2
fWINT13-FE12END-7-days-04,20130316,2
fWINT13-FE12END-7-days-04,20130317,2
fWINT13-FE12END-7-days-04,20130322,2
fWINT13-FE12END-7-days-04,20130323,2
fWINT13-FE12END-7-days-04,20130324,2
fWINT13-FE12END-7-days-04,20130329,2
fWINT13-FE12END-7-days-04,20130330,2
fWINT13-FE12END-7-days-04,20130331,2
fWINT13-FE12END-7-days-04,20130405,2
fWINT13-FE12END-7-days-04,20130406,2
fWINT13-FE12END-7-days-04,20130407,2
fWINT13-FE12END-7-days-05,20121217,2
fWINT13-FE12END-7-days-05,20121218,2
fWINT13-FE12END-7-days-05,20121219,2
fWINT13-FE12END-7-days-05,20121220,2
fWINT13-FE12END-7-days-05,20121224,2
fWINT13-FE12END-7-days-05,20121225,2
fWINT13-FE12END-7-days-05,20121226,2
fWINT13-FE12END-7-days-05,20121227,2
fWINT13-FE12END-7-days-05,20121231,2
fWINT13-FE12END-7-days-05,20130101,2
fWINT13-FE12END-7-days-05,20130102,2
fWINT13-FE12END-7-days-05,20130103,2
fWINT13-FE12END-7-days-05,20130107,2
fWINT13-FE12END-7-days-05,20130108,2
fWINT13-FE12END-7-days-05,20130109,2
fWINT13-FE12END-7-days-05,20130110,2
fWINT13-FE12END-7-days-05,20130114,2
fWINT13-FE12END-7-days-05,20130115,2
fWINT13-FE12END-7-days-05,20130116,2
fWINT13-FE12END-7-days-05,20130117,2
fWINT13-FE12END-7-days-05,20130121,2
fWINT13-FE12END-7-days-05,20130122,2
fWINT13-FE12END-7-days-05,20130123,2
fWINT13-FE12END-7-days-05,20130124,2
fWINT13-FE12END-7-days-05,20130128,2
fWINT13-FE12END-7-days-05,20130129,2
fWINT13-FE12END-7-days-05,20130130,2
fWINT13-FE12END-7-days-05,20130131,2
fWINT13-FE12END-7-days-05,20130204,2
fWINT13-FE12END-7-days-05,20130205,2
fWINT13-FE12END-7-days-05,20130206,2
fWINT13-FE12END-7-days-05,20130207,2
fWINT13-FE12END-7-days-05,20130211,2
fWINT13-FE12END-7-days-05,20130212,2
fWINT13-FE12END-7-days-05,20130213,2
fWINT13-FE12END-7-days-05,20130214,2
fWINT13-FE12END-7-days-05,20130218,2
fWINT13-FE12END-7-days-05,20130219,2
fWINT13-FE12END-7-days-05,20130220,2
fWINT13-FE12END-7-days-05,20130221,2
fWINT13-FE12END-7-days-05,20130225,2
fWINT13-FE12END-7-days-05,20130226,2
fWINT13-FE12END-7-days-05,20130227,2
fWINT13-FE12END-7-days-05,20130228,2
fWINT13-FE12END-7-days-05,20130304,2
fWINT13-FE12END-7-days-05,20130305,2
fWINT13-FE12END-7-days-05,20130306,2
fWINT13-FE12END-7-days-05,20130307,2
fWINT13-FE12END-7-days-05,20130311,2
